dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
André Amaral,PMDB,PB,Não estava no cargo,6408362.57,0,Contra,"Sr. Presidente, não é hora de ter medo, éhora de ter coragem para encarar os desafios que a vida pública impõe a um jovem. Eu poderia aqui fazer um voto eleitoreiro, mas o meu voto é de responsabilidade e pautado na juridicidade da denúncia, que é inepta, ineficaz e não traz nenhum bem para a sociedade, pelo contrário. A busca da verdade real vai acontecer em 2019, quando o Presidente vai poder ser julgado pelo tribunal de primeiro grau. Enquanto isso, eu digo sim ao relatório.",86
André de Paula,PSD,PE,A favor,5231165,0,A favor,"Sr. Presidente, voto não.",4
André Figueiredo,PDT,CE,Não estava no cargo,6759100,132146.24,A favor,"Autorizar a análise dessa denúncia épermitir o devido curso da Justiça. As votações que nós estamos tendo aqui estão transformando esta Casa em um vergonhódromo!
Voto não ao relatório e sim à análise.",33
André Fufuca,PP,MA,A favor,10389888,23487.2,Contra,"Pela estabilidade política e econômica do meu País, não para inocentar, mas para que o Presidente seja investigado e julgado após o término do seu mandato e, em respeito à orientação partidária do Partido Progressista, voto sim.",37
André Moura,PSC,SE,A favor,9582835.55,275575.17,Contra,"Sr. Presidente, contra o passado obscuro e nefasto do PT e a favor do futuro das reformas que possibilitam a retomada do crescimento, já com 280 votos favoráveis ao Governo, que já garantem a governabilidade para a construção do País, eu voto com o Relator, o Deputado Paulo Abi-Ackel, do PSDB. 
Eu voto sim, Sr. Presidente. ",56
Andres Sanchez,PT,SP,Contra,6972943,1173969.12,A favor,"Sr. Presidente, não adianta tomar nenhuma atitude se esta Casa não melhorar, não se fizer respeitar mais. 
Voto não mas, enquanto o Congresso não tiver mais respeito, cada dia as coisas vão ficar mais difíceis.",35
Angelim,PT,AC,Contra,5408919.65,89072.16,A favor,"Em defesa da ética e da honestidade na gestão pública e na política, Sr. Presidente, voto não.",17
Aníbal Gomes,PMDB,CE,Ausente,10159577,576356.52,Contra,"Voto sim, Sr. Presidente.",4
Antonio Brito,PSD,BA,Contra,9989816.54,2423644.02,A favor,"Voto não, Sr. Presidente.",4
Antonio Bulhões,PRB,SP,A favor,8142540,2399119.37,Contra,"Sr. Presidente, o meu voto não significa o encerramento das investigações nem o arquivamento da denúncia. Eu voto sim pelo prosseguimento, pelo encerramento dessa investigação e até que se encerre...  Eu voto sim.",33
Antonio Carlos Mendes Thame,PV,SP,Não estava no cargo,0,0,A favor,"Votamos contra a corrupção, a favor da continuidade das denúncias, contra o relatório que veio da Comissão de Constituição e Justiça, e de Cidadania. ",24
Antônio Imbassahy,PSDB,BA,A favor,3975702.71,533720.48,Contra,"Sr. Presidente, eu voto com o parecer do competente Deputado Paulo Abi-Ackel. Eu voto sim.",15
Antônio Jácome,PODE,RN,A favor,6841825,1701205.56,A favor,"Sou contra o balcão de negócios. Podemos sonhar e lutar por um Brasil sem corrupção.
Voto sim à investigação e não ao relatório.",23
Ariosto Holanda,PDT,CE,Contra,0,1064298.47,A favor,O Deputado Ariosto Holanda vota não.,6
Arlindo Chinaglia,PT,SP,Contra,7352162,2065042.51,A favor,"Sr. Presidente, eu voto não contra o relatório que veio da Comissão de Constituição e Justiça e de Cidadania — CCJ, contra a privatização das hidrelétricas, contra a entrega do pré-sal. Para se passar o Brasil a limpo, há de se continuar essa investigação.",44
Arnaldo Faria de Sá,PTB,SP,A favor,8101360.54,4818016.44,A favor,"Sr. Presidente, para que se acabe com a truculência na reforma da Previdência, em respeito a aposentados e pensionistas, aos trabalhadores em geral, o meu voto é não. E quero dizer que a praga de aposentado pega.",37
Arnaldo Jordy,PPS,PA,A favor,3509698.78,3418147.65,A favor,"Sr. Presidente, em favor da investigação da grave denúncia que repousa sobre o Presidente Temer, nós somos contra o Relator da Comissão de Justiça. O meu voto é não.",29
Arolde de Oliveira,PSC,RJ,A favor,0,0,A favor,"Sr. Presidente, lamentando a natureza triste desta matéria, mas coerente com a minha vida política, com o meu comportamento político, eu voto contra o relatório da CCJ.",27
Arthur Lira,PP,AL,A favor,1236340,1476900.39,Contra,"Sr. Presidente, em consonância com o trabalho técnico que foi feito na CCJ, ressaltando o brilhante relatório do Deputado Paulo Abi-Ackel, nós votamos sim, pelo prosseguimento do trabalho e da economia do povo brasileiro.
Voto sim.",36
Arthur Oliveira Maia,PPS,BA,A favor,2315216.83,737034.02,Contra,"Sr. Presidente, eu voto a favor da recuperação da economia. Eu voto a favor de milhões de desempregados que estão vendo, neste momento de recuperação econômica, a sua salvação.
Eu voto a favor do parecer do Deputado Paulo Abi-Ackel.",39
Arthur Virgílio Bisneto,PSDB,AM,A favor,5559769,110137.09,Contra,"Sr. Presidente, eu não negociei emenda, muito menos tenho cargos no Governo. Acredito que o Brasil precisa passar por reformas estruturantes, que façam a máquina se modernizar e o Brasil voltar a crescer com consistência. O país que olha para o futuro não troca de Presidente como se troca de roupa.
O meu voto é sim ao relatório do brilhante Deputado Paulo Abi-Ackel.",63
Assis Carvalho,PT,PI,Contra,7000625,2108819.73,A favor,"Contra o banditismo que se instalou no Planalto Central, pela democracia neste País e para que Temer vá fazer companhia a Eduardo Cunha, o meu voto é não ao relatório e sim à continuidade da investigação. ",36
Assis do Couto,PDT,PR,Contra,10258573,2273780.13,A favor,"Sim à investigação, Sr. Presidente. Não a este relatório, porque dizendo não a este relatório estaremos dizendo não à reforma da Previdência, principalmente.
Obrigado.",24
