dep,partido,estado,votodilma,liberado,recebido,vototemer,discurso,discurso2
Delegado Éder Mauro,PSD,PA,A favor,7332998.52,495820.67,Contra,"Sr. Presidente, em nome da estabilidade deste País, em nome de emprego para o povo brasileiro, mas principalmente para que essa esquerda comunista pense em tentar ressuscitar bandidos já falecidos politicamente que destruíram e roubaram este País, inclusive com implantação de proposta à destruição da família, voto sim. ",48
Delegado Edson Moreira,PR,MG,A favor,6451199.01,1398336.92,Contra,"Contra quem apoia a ditadura do Maduro, que estámatando todos os venezuelanos e mandando-os para nós aqui, contra essa corrupção, Sr. Presidente, votamos sim ao relatório do brilhante Paulo Abi-Ackel.",30
Delegado Waldir,PR,GO,A favor,2309370.38,3317655.41,Aus,,0
Deley,PTB,RJ,A favor,5809190.9,2341707.25,A favor,"Presidente, em respeito à democracia e ao povo brasileiro, nós votamos não.",12
Deoclides Macedo,PDT,MA,Não estava no cargo,0,0,A favor,"Sr. Presidente, a favor do Brasil, pela autorização do prosseguimento da denúncia perante o Supremo Tribunal Federal. Não ao relatório.",20
Diego Andrade,PSD,MG,A favor,4640026.25,1144267.33,Contra,"Voto sim, Presidente.",3
Diego Garcia,PHS,PR,A favor,6812314.55,2912222.88,A favor,"Presidente, eu voto coerente com minha posição na Casa de combate àcorrupção, portanto, não ao relatório.",16
Dilceu Sperafico,PP,PR,A favor,8870469,1165744.5,Contra,"Pelo bem do Brasil, pelo bem da agricultura e pelas reformas, voto sim.",13
Dimas Fabiano,PP,MG,A favor,8667300.52,2553532.51,Contra,"Pela estabilidade econômica e política, eu voto sim, Presidente.",9
Domingos Neto,PSD,CE,Contra,10722953,106242.17,Contra,"Sr. Presidente, ano passado, muitos nesta Casa defenderam que, para se afastar um Presidente, era necessária grande substância jurídica. Encontramo-nos, mais uma vez, em um momento de afastamento com a denúncia ainda muito mais frágil do que o processo de impeachment. Tenho certeza de que a tentativa de tirar um Presidente cuja investigação prosseguirá ao fim do seu mandato, antecipar essa retirada, será uma incoerência e pode ser chamada atéde contragolpe. Contra isso, eu voto sim ao relatório.",78
Domingos Sávio,PSDB,MG,A favor,7900200,3416671.57,Contra,"Sr. Presidente, a lei é igual para todas, para todos. E o Presidente Temer haverá de responder às acusações no momento apropriado. Mas não vamos fazer o jogo do PT. Não é hora de tirar o Presidente. Eles querem o caos. Querem transformar isso aqui numa Venezuela. Queremos acabar com a crise, queremos gerar emprego e desenvolver o Brasil. Portanto, com muita consciência e responsabilidade, eu voto sim, Presidente.",69
Dr. Jorge Silva,PHS,ES,A favor,5089055.65,370823.48,A favor,"Em nome da ética, em nome da moralidade, pela continuidade da investigação e em nome da maioria da população capixaba, eu voto não.",23
Dr. Sinval Malheiros,PODE,SP,A favor,7380203,4122645.06,Contra,"Sr. Presidente, a minha opinião é que o Brasil está em uma fase progressista e não podemos ter mais retrocesso. Meu voto é sim.",24
Dulce Miranda,PMDB,TO,A favor,6791329,361251.1,Contra,"Sr. Presidente, pelo crescimento do nosso País o meu voto é sim.",12
Edio Lopes,PR,RR,Contra,6150000,765294.48,Contra,"Sr. Presidente, o Deputado Edio Lopes vota favoravelmente ao relatório do PSDB, ao relatório do Deputado Paulo Abi-Ackel.",18
Edmar Arruda,PSD,PR,Não estava no cargo,7631223,1505468.22,Contra,"Sr. Presidente, sim à retomada do crescimento, sim à geração de emprego, sim à redução da taxa de juros, sim à economia estável, e que nós possamos dar estabilidade ao setor produtivo deste País. Eu voto sim ao relatório.",39
Edmilson Rodrigues,PSOL,PA,Contra,3021512.67,921960.37,A favor,"Sr. Presidente, um rotundo não, para que a investigação do corrupto Michel Temer prossiga, porque não é possível admitir a perda de direitos do nosso povo, a violência contra indígenas negros e trabalhadores. À luta!",35
Eduardo Barbosa,PSDB,MG,A favor,6253186,275196.55,Aus,,0
Eduardo Bolsonaro,PSC,SP,A favor,3247815.14,844402.99,A favor,"Sr. Presidente, o problema do Brasil não é a troca de Presidente, mas a corrupção.
Pela abertura das investigações, o meu voto é não.",24
Eduardo Cury,PSDB,SP,A favor,7675177.61,384111.04,A favor,"Pela continuidade das investigações, o meu voto é não ao relatório.",11
Eduardo da Fonte,PP,PE,A favor,3072893,4400335.48,Contra,Sim.,1
Efraim Filho,DEM,PB,A favor,6351960,1210040.94,Contra,"Voto sim, com o Relator, Sr. Presidente.",7
Elcione Barbalho,PMDB,PA,Contra,3438330,4027395.68,Contra,"Pelo relatório, sim.",3
Eli Corrêa Filho,DEM,SP,A favor,7139643,1167676.98,Contra,"Sr. Presidente, meu é voto é sim.",7
Elizeu Dionizio,PSDB,MS,A favor,2659680,0,Contra,"Voto sim, Sr. Presidente.",4
Eliziane Gama,PPS,MA,A favor,4644638,1389043.36,A favor,"Sr. Presidente, em nome do nosso povo simples, honesto e trabalhador, contra a corrupção em nosso País, e, sobretudo, porque ninguém está acima da lei, eu voto não ao Temer.",30
Elmar Nascimento,DEM,BA,A favor,2553638,1824576.09,Contra,"A Constituição brasileira estabelece a necessidade de autorização legislativa para processar o Presidente exatamente para que seja examinado o momento adequado. Voto com o meu partido. Voto sim, Sr. Presidente.",30
Enio Verri,PT,PR,Contra,9319388,0,A favor,"Sr. Presidente, pela soberania nacional, contra as reformas que empobrecem o trabalhador brasileiro, em respeito ao povo paranaense, voto não.",20
Erika Kokay,PT,DF,Contra,2299000,519317.54,A favor,"Contra o cinismo da compra de votos para a manutenção de Michel Temer, contra a impunidade, contra um ladrão de direitos de recursos públicos, de esperança, justiça e cidadania, eu voto não em defesa do povo brasileiro, eu voto não para que se investigue porque ninguém está acima da lei. Eu voto não pelo Brasil.",55
Erivelton Santana,PEN,BA,A favor,6419180,1445145.26,Contra,"Sr. Presidente, voto pela apreciação do relatório. Voto sim.",9
Eros Biondini,PROS,MG,A favor,8032038,4207734.94,A favor,"Sr. Presidente, sou a favor da investigação. O meu voto é não.",12
Esperidião Amin,PP,SC,A favor,5664034,1812632.24,A favor,"Sr. Presidente, voto sim à denúncia pela investigação e voto não ao relatório.",13
Evair Vieira de Melo,PV,ES,A favor,2218360,941875.18,A favor,"Sou recém-chegado na política, Sr. Presidente. Por princípios e por valores, os capixabas que represento abominam a corrupção. Nunca seremos coniventes com esse mal. Que se prossigam com as investigações! O Deputado Evair vota não ao relatório.",37
Evandro Gussi,PV,SP,A favor,5011100,1200152.24,Contra,"Sr. Presidente, o Brasil é semelhante a alguém que sofreu um acidente e que precisa, sim, de uma cirurgia, mas depois de estabilizado.
O Presidente deverá, sim, ser julgado e processado, depois de estabilizado o Brasil.
Por isso, Sr. Presidente, primeiro deve-se estabilizar o Brasil e depois haver as apurações, que serão realizadas pela Justiça Comum.
O meu voto é sim.",61
Evandro Roman,PSD,PR,A favor,4914011.17,1534301.1,Contra,"Sr. Presidente, convicto pelo Brasil, que produz, pelo meu Paraná, que gera riquezas, eu voto sim ao relatório.",18
Expedito Netto,PSD,RO,A favor,5688974,3997204.58,A favor,"Sr. Presidente, seja um empresário, seja um promotor, seja um juiz, seja um Deputado, seja um Senador ou até mesmo um Presidente da República, ninguém está acima da lei.
É por isso que eu voto não, a favor da investigação.",40
Ezequiel Fonseca,PP,MT,Não estava no cargo,6471700,638639.53,Contra,Pela estabilidade econômica e pela estabilidade política eu voto sim ao relatório do PSDB.,14
Ezequiel Teixeira,PODE,RJ,A favor,6500000,867281.46,Contra,"Sr. Presidente, por saber que o Presidente vai ser investigado no final do seu mandato, pela estabilidade, pela governabilidade, contra o PT e o comunismo na nossa Nação, eu voto sim. Brasil para frente! Brasil de cabeça erguida!",38
Fábio Faria,PSD,RN,A favor,7956790.34,1233686.49,Contra,"Sr. Presidente, acompanho o voto do Relator Paulo Abi-Ackel, do PSDB.",11
Fabio Garcia,PSB,MT,A favor,7542953,2181879.43,Contra,"Eu voto sim, Sr. Presidente.",5
Fábio Mitidieri,PSD,SE,Contra,6777160,0,A favor,"A justiça, por dever de justiça, é cega, mas esta Casa não deveria nem poderia fechar seus olhos para as corrupções apresentadas pela Procuradoria-Geral da República — PGR.
A população brasileira assiste envergonhada a tudo o que aconteceu aqui hoje, e eu não colocarei a minha digital nisso. 
Portanto, voto contra o relatório e a favor do povo brasileiro. ",59
Fábio Ramalho,PMDB,MG,A favor,5578659.41,445595.6,Contra,"O meu voto é sim, respeitando cada pessoa que vota sim ou não.",13
Fábio Reis,PMDB,SE,A favor,9873005.16,827260.95,Contra,"Voto sim, Sr. Presidente.",4
Fábio Sousa,PSDB,GO,A favor,5327950,557318.21,A favor,"Quero render uma homenagem ao Deputado Eduardo Barbosa, Sr. Presidente, que não pôde estar presente devido ao falecimento da sua esposa. 
Eu voto não.",24
Fausto Pinato,PP,SP,A favor,9007550,1104985.93,Contra,"Sr. Presidente, chegou o momento de escolha entre o correto e o errado. Precisamos ter sensatez de pensar no País. Aqui ninguém está absolvendo o Presidente. O Presidente vai ser processado ao término do seu mandato. Corremos o risco de ter duas eleições: uma indireta em março e outra direta em outubro. Isso é irresponsabilidade.
Voto não à quadrilha da JBS, a delação que eu tenho dúvida, e voto sim à coerência e ao futuro do País.
O voto é sim.",81
Felipe Bornier,PROS,RJ,A favor,9274539,0,A favor,"Sr. Presidente, com transparência e de acordo com a minha consciência, eu voto não, voto a favor das investigações.
Obrigado.",20
Felipe Maia,DEM,RN,A favor,7596397.93,1615292.44,Contra,"Sr. Presidente, eu voto favorável ao parecer da Comissão de Constituição e Justiça, ao parecer do Deputado Paulo Abi-Ackel.",19
Félix Mendonça Júnior,PDT,BA,Contra,6503652.99,4569091.39,A favor,"Sr. Presidente, acompanhando o meu partido, eu voto não.",9
Fernando Coelho Filho,PSB,PE,A favor,4750846,2529778.62,Contra,"Meu voto é sim, Sr. Presidente.",6
Fernando Monteiro,PP,PE,Não estava no cargo,3972500,253365.59,Contra,"O meu voto é sim, Sr. Presidente.",7
Fernando Torres,PSD,BA,Contra,7837998,276307.68,A favor,"Sr. Presidente, eu votei em V.Exa. para Presidente desta Casa e não me arrependi. V.Exa. é um bom Presidente. Agora, nem V.Exa. nem Temer merece ser Presidente da República, porque para ser Presidente tem que ter voto. Quem tem voto é Lula. É Lula 2018!",45
Flávia Morais,PDT,GO,A favor,8258038,2227577.42,A favor,"Sr. Presidente, o povo brasileiro merece ver essa denúncia investigada e esclarecida. 
Por isso, nós somos a favor da investigação. O meu voto é não, contrário ao relatório.",28
Flaviano Melo,PMDB,AC,A favor,5672953,1643816.13,Contra,"O meu voto é sim, com o Relator, Deputado Abi-Ackel.",10
Flavinho,PSB,SP,A favor,3049337,7759168.62,A favor,"Sr. Presidente, no primeiro dia do meu mandato, eu assumi o compromisso de defender a Constituição e o povo brasileiro.
Por isso hoje eu voto contra o parecer do Relator e sim à denúncia contra o Presidente Michel Temer, porque ninguém está acima da lei.
Muito obrigado.",47
Francisco Chapadinha,PODE,PA,A favor,4398635,1344394.7,Contra,Voto sim ao relatório.,4
Francisco Floriano,DEM,RJ,A favor,9722953,865367.69,Contra,"Voto sim, Sr. Presidente.",4
Franklin Lima,PP,MG,A favor,5265399,653519.73,Contra,"Sr. Presidente, eu voto sim.",5
Gabriel Guimarães,PT,MG,Contra,6028861.43,2449268.39,A favor,"O meu voto é não, Sr. Presidente, pelo processamento da denúncia, para que se busque a totalidade da verdade, elemento essencial de aplicação da boa justiça.",26
Genecias Noronha,SD,CE,A favor,8958513.49,981268.91,Contra,"Sr. Presidente, pela estabilidade econômica e a volta do emprego no nosso Brasil, o meu voto é sim, com o Relator.",21
George Hilton,PSB,MG,Contra,4230894.25,0,A favor,"Eu voto não ao relatório e sim ao prosseguimento da investigação, Sr. Presidente.",13
Geovania de Sá,PSDB,SC,A favor,10050112.54,2510304.88,A favor,"Sr. Presidente, pela investigação o meu voto é não ao relatório. ",11
Geraldo Resende,PSDB,MS,A favor,3451700,1959856.48,Contra,"Sr. Presidente, acompanho em seu inteiro teor o relatório, votado e aprovado pela Comissão de Constituição e Justiça, do eminente Deputado Paulo Abi-Ackel.",23
Giacobo,PR,PR,A favor,10682340,1200848.41,Contra,Sim.,1
Gilberto Nascimento,PSC,SP,A favor,8519473,4476700.46,Aus,,0
Giovani Cherini,PR,RS,A favor,7620145.38,1619643.94,Aus,,0
Giuseppe Vecci,PSDB,GO,A favor,6828262.1,1471007.94,Contra,"Sr. Presidente, sou favorável à estabilidade do País e ao crescimento da nossa economia. Eu voto sim, pelo relatório do Deputado Paulo Abi-Ackel.",23
Givaldo Carimbão,PHS,AL,Contra,2459698,12858.17,A favor,"Sr. Presidente, Sras. e Srs. Deputados, o povo brasileiro, o povo alagoano, o Brasil todo viu a delação de Joesley Batista, que depois foi comprovada pela Polícia Federal, sendo constatada oficialmente. Nós dizermos que não autorizamos investigar aquilo que foi comprovado pela Polícia Federal não é didático, não é moral para a sociedade.
Eu gostaria, Sr. Presidente, de afirmar e reafirmar mais uma vez o meu compromisso com a seriedade na política. Eu tenho 30 anos de mandato: eu tenho um carro 2010 e moro num apartamento financiado pelo Banco Nacional da Habitação —BNH há 28 anos, mas não vendo a minha dignidade.
Todos estão dizendo: Vão investigar depois. Por que não agora?
Voto não.",115
Givaldo Vieira,PT,ES,Contra,6029466,2558052.93,A favor,"Sr. Presidente, ao lado de 93% do digno povo brasileiro, voto contra a corrupção de Temer e de seu Governo, contra a reforma trabalhista e a reforma da Previdência. O meu voto é não.",34
Glauber Braga,PSOL,RJ,Contra,3781190,1603657.25,A favor,"Esta institucionalidade aqui está podre! O que vira esse jogo é a organização popular de base. Eu voto contra essa máfia que quer, na mão grande, retirar os direitos... Eu voto contra essa máfia que quer, na mão grande, retirar os direitos de milhões de brasileiros. Essa máfia está no Planalto e também aqui ao meu lado. 
O meu voto é não.",62
Gonzaga Patriota,PSB,PE,A favor,9147998,1196537.68,A favor,"Gonzaga Patriota votou contra o teto, contra a reforma trabalhista e vai votar contra a previdenciária. Em nome de 90% do povo brasileiro, eu voto sim à investigação e não ao relatório.",32
Gorete Pereira,PR,CE,Abstenção,8218525.54,176796.3,Contra,"Pela melhora dos índices da economia, eu voto sim pelo Brasil.",11
Goulart,PSD,SP,A favor,7973758,520595.35,Contra,"Sr. Presidente, eu convivi com o Presidente Michel Temer por mais de 30 anos, militando no MDB, e também com o meu Deputado Estadual JorgeCaruso. Confio no Presidente Michel Temer.
No ano passado nós vivemos um dos momentos mais... Partido dos Trabalhadores conseguiu unir o nosso País de norte a sul, de leste a oeste. Com isso nós levamos o Michel Temer à Presidência da República. Então, o que o PT uniu o Janot não separa.
Por isso eu voto sim.",81
Guilherme Mussi,PP,SP,A favor,8420675.44,3471795.74,Contra,"Sr. Presidente, Sras. e Srs. Deputados, eu acompanho o voto do Relator, aprovado na Comissão de Constituição e Justiça.",19
Heitor Schuch,PSB,RS,A favor,8102565,4697321.46,A favor,"Sr. Presidente, eu voto pela abertura da investigação; portanto, não ao parecer do Relator.",14
Helder Salomão,PT,ES,Contra,6520886,762212.66,A favor,"Em respeito à Constituição do meu País, em respeito ao povo capixaba e ao povo brasileiro, contra a corrupção e contra a compra de votos, eu voto não ao relatório. Fora Temer! Diretas já!",34
Hélio Leite,DEM,PA,A favor,5764781.66,543263.32,Contra,Voto sim.,2
Henrique Fontana,PT,RS,Contra,6365115.8,2278463.64,A favor,"Pela dignidade do povo brasileiro, que éhonrado, justo e trabalhador; contra a hipocrisia e o cinismo dos que querem proteger Temer e seu Governo corrupto e ilegítimo; eu voto não, ao lado de 90% dos brasileiros.
Nós haveremos de vencer!",40
Heráclito Fortes,PSB,PI,A favor,8318459,510115.76,Contra,"Sr. Presidente, o Brasil precisa ter paz. 
Eu vou votar, em primeiro lugar, em homenagem à coragem do Presidente Michel Temer em promover as reformas de que o Brasil necessita e que, talvez, por isso mesmo, esteja pagando um alto preço.
Portanto, Sr. Presidente, diante desses fatos e da coerência, em nome de um Brasil livre que quer crescer, eu voto sim.",62
Herculano Passos,PSD,SP,A favor,7872390,889062.69,Contra,"Sr. Presidente, pela estabilidade da economia, pela estabilidade do nosso País, eu voto sim, pelo Brasil.",16
Hermes Parcianello,PMDB,PR,A favor,7923758.98,5505613.42,Contra,"Este é um voto político, Sr. Presidente. Não é um voto contra a justiça, nem contra a PGR. É um voto político.
Eu voto sim ao relatório da CCJ.",29
Heuler Cruvinel,PSD,GO,A favor,0,2022200.78,Contra,"Sr. Presidente, pela retomada do crescimento da economia e contra a esquerda comunista que quebrou este País, o meu voto é sim ao relatório.",24
Hildo Rocha,PMDB,MA,A favor,9199964,1103566.38,Contra,"Sr. Presidente, eu voto a favor do relatório da Comissão de Constituição e Justiça e de Cidadania que diz claramente que a denúncia do Rodrigo Janot é inepta, carregada de vontade política, e de querer desestabilizar o nosso País.
Pela estabilidade do nosso País eu voto sim pelo relatório do Deputado Paulo Abi-Ackel.",53
Hiran Gonçalves,PP,RR,A favor,6465890,145710.94,Contra,"Sr. Presidente, com muita serenidade e convicção, voto a favor do relatório do Deputado Paulo Abi-Ackel, não que isso signifique uma apologia à criminalidade. Eu acho que o Presidente, depois de terminado o mandato, deve responder pelas acusações que lhe são imputadas.",42
Hissa Abrahão,PDT,AM,A favor,4103108,1071007.38,A favor,"Sr. Presidente, em homenagem a milhões de mulheres e homens trabalhadores, que ganham seu dinheiro de forma honesta e que não temem nenhum tipo de investigação, o meu voto é não.
Xô, corrupção! Fora, Temer!",35
Hugo Leal,PSB,RJ,A favor,5709410.8,1467394.29,A favor,"Sr. Presidente, em respeito às instituições, à autonomia, à independência dos Poderes da República e também por orientação do meu partido, o PSB, eu voto não, pela continuação da denúncia.",30
Hugo Motta,PMDB,PB,A favor,8547980.54,1129613.36,Contra,"Voto sim, Sr. Presidente.",4
Iracema Portella,PP,PI,A favor,10116935.12,716430.39,Contra,"Por falta de consistência na denúncia, eu voto sim.",9
Irajá Abreu,PSD,TO,Contra,7125018,3487439.12,A favor,"Sr. Presidente, ninguém está acima da lei, nem mesmo o Presidente Michel Temer. Por isso, conforme a minha consciência e em respeito a 95% da vontade dos brasileiros, sou favorável às investigações. Não ao relatório, sim às investigações.",38
Irmão Lázaro,PSC,BA,A favor,7254579,435243.35,A favor,"Sr. Presidente, eu espero que o nosso País encontre o caminho — não o caminho da maldade e da perversidade; mas sim o caminho, a verdade e a vida.
Eu voto não ao relatório e clamo por conversão.",38
Ivan Valente,PSOL,SP,Contra,2749955,5804879.91,A favor,"Sr. Presidente, em nome da dignidade do mandato parlamentar e do respeito ao povo brasileiro, pela não continuidade do golpista e corrupto Temer, contra a reforma da Previdência e contra a reforma trabalhista, nós votamos não.",36
Izalci Lucas,PSDB,DF,A favor,7676769,2144261.67,Contra,"Sr. Presidente, eu voto com o Relator. Voto sim.",9
Izaque Silva,PSDB,SP,Não estava no cargo,0,0,A favor,"Sr. Presidente, eu voto pelo prosseguimento das investigações e voto não ao relatório.",13
Jaime Martins,PSD,MG,A favor,6638980.54,1327415.91,Contra,"Sr. Presidente, nós não estamos aqui na verdade julgando se o Presidente Temer vai ser investigado ou não. O Presidente Temer será investigado. O que nós estamos decidindo é se ele será julgado agora por esse Supremo ou se será julgado à frente pelo juiz Sérgio Moro.
Eu acho que está decidido que o Presidente Temer será julgado. Eu sou pelo combate implacável... Vou votar, Sr. Presidente. Mas acho que colocar um Governo interino dentro de um Governo provisório não é bom para o Brasil neste momento. Por isso, voto sim.",91
Jair Bolsonaro,PSC,RJ,A favor,2621077,230227.89,A favor,"Para ser uma grande nação, o Brasil precisa de um Presidente honesto, cristão e patriota.
O meu voto é não.",20
Jandira Feghali,PCdoB,RJ,Contra,4403114.98,3231867.58,A favor,"Temer estároubando o Brasil, roubando direitos e roubando os aposentados.
Voto com a indignação do povo brasileiro, voto com a coragem e a ousadia de uma mulher, voto pelo Brasil e pela democracia.
Fora, canalha! Fora, Temer!
O meu voto é não. ",42
Janete Capiberibe,PSB,AP,Contra,4450140,1464930.61,A favor,"Ladrão de galinha vai para a prisão, colarinho branco fica numa boa. Em homenagem ao povo brasileiro, eu voto não, para que Temer seja investigado e julgado.
Fora Temer! Diretas Já!",31
Jarbas Vasconcelos,PMDB,PE,A favor,7485885,369032.63,A favor,Eu voto não.,3
Jean Wyllys,PSOL,RJ,Contra,200000,2096581.42,A favor,"Sr. Presidente, em defesa da democracia sequestrada por facção criminosa que também é inimiga dos artistas, das mulheres, dos trabalhadores em geral, dos negros e negras, da comunidade LGBT, dos povos indígenas, eu voto nãoao relatório dos cúmplices do corruptos.",40
Jefferson Campos,PSD,SP,A favor,6471698.52,1683639.28,A favor,"Sr. Presidente, essa estabilidade sem a verdade é uma falsidade. Rejeitando o relatório, voto sim às investigações e não ao relatório.",21
Jerônimo Goergen,PP,RS,A favor,8994332.17,1936582.85,A favor,"Voto não, Sr. Presidente.",4
Jéssica Sales,PMDB,AC,A favor,5712699,800588.49,Contra,"Sr. Presidente, pelo bem da Nação, eu voto sim.",9
JHC,PSB,AL,A favor,3994774.78,0,Aus,,0
Jhonatan de Jesus,PRB,RR,A favor,9180953,2101.67,Contra,"Sr. Presidente, Sras. e Srs. Deputados, eu voto sim ao relatório do Deputado Paulo Abi-Ackel.",15
Jô Moraes,PCdoB,MG,Contra,4152979.74,991065.23,A favor,"Sr. Presidente, o meu voto é não, contra o Governo ilegítimo de Temer, que transformou o Brasil num grande cassino onde as apostas são feitas contra os direitos dos trabalhadores e a soberania nacional. Pelo Brasil, meu voto é não.",40
João Arruda,PMDB,PR,A favor,7913360,1548512.37,Contra,"Voto sim, Presidente.",3
João Campos,PRB,GO,A favor,6077630,4465080.77,Contra,"Sr. Presidente, o Goiás e o Brasil sabem que eu sou a favor de qualquer investigação, inclusive desta. Todavia, em absoluto respeito à decisão partidária, eu voto sim.",28
João Carlos Bacelar,PR,BA,Contra,6852769,447105.26,Contra,"Sr. Presidente, em respeito às instituições brasileiras e por orientação do meu partido, com a ciência do Governador da Bahia, Rui Costa, eu voto sim.",25
João Daniel,PT,SE,Contra,8206642.05,1591930.66,A favor,"Sr. Presidente, nós votamos a favor do povo sergipano e brasileiro, votamos a favor daqueles que lutaram e deram a vida pela democracia e pela liberdade e por um País decente, votamos não ao relatório; sim à investigação. Fora, golpista. Diretas já!",42
João Derly,Rede,RS,A favor,8301835,2068166.91,A favor,"Pela gravidade dos fatos, pela contundência das provas — a mala e o áudio — e a favor da denúncia, eu voto não, contrário ao relatório do Deputado Paulo Abi-Ackel.",30
João Fernando Coutinho,PSB,PE,A favor,5473745,1083818.32,Abs,,0
João Gualberto,PSDB,BA,A favor,8650741.97,326632.25,A favor,"Contra a chapa Dilma-Temer; contra todos os partidos que elegeram Temer por dois mandatos — PT, PCdoB e seus puxadinhos —; a favor da investigação de todos os que carregam dinheiro em cuecas e em malas; a favor da investigação de todos, com cadeia, se for necessário; eu voto não ao relatório.",52
João Marcelo Souza,PMDB,MA,Contra,5069873,251585.59,Contra,"Presidente, eu voto com o Relator, meu voto é sim.",10
João Paulo Kleinübing,PSD,SC,A favor,0,0,Contra,"Eu voto sim ao relatório, Sr. Presidente.",7
João Paulo Papa,PSDB,SP,A favor,6322948,700270.83,A favor,"Sr. Presidente, o meu voto é não ao relatório.",9
João Rodrigues,PSD,SC,A favor,9259295.55,1017740.52,Contra,"Sr. Presidente, contra esse discurso baixo e sujo do PT e da Esquerda, que apoiou a corrupção durante 14 anos, eu voto pelo Brasil. Eu voto sim pelo relatório do PSDB e do Deputado Paulo Abi-Ackel. Sim, Sr. Presidente.",39
Joaquim Passarinho,PSD,PA,A favor,6580865,563813.51,A favor,"Sr. Presidente, sonhando por um País mais ético, em que todos serão iguais perante a lei, voto pela continuidade do processo.",21
Jony Marcos,PRB,SE,A favor,8095213,1412708.65,A favor,"Presidente Michel Temer, não corte recursos das universidades federais, não feche as agências do INSS, pague o aumento do Bolsa Família que o senhor prometeu e não cumpriu — Não cumpriu! — e cuide do meu Estado de Sergipe, que o senhor esqueceu e abandonou. Eu voto não, Sr. Presidente.",50
Jorge Boeira,PP,SC,A favor,820000,35423.35,A favor,"Tenho nojo de quem desvia recurso público. Tenho nojo da corrupção. Tenho nojos dos corruptos. Fora, Temer! Não. ",18
Jorge Côrte Real,PTB,PE,A favor,8631053,742490.84,Contra,"Sr. Presidente, o que este País precisa é de estabilidade para que se façam, se providenciem as reformas estruturais e passamos a um desenvolvimento sustentável. Para isso, o meu voto é sim.",32
Jorge Solla,PT,BA,Contra,5383490,2106402.48,A favor,"Um bando de corruptos cassou uma Presidente honesta, contra quem não havia nenhuma acusação de corrupção. Esse mesmo bando de corruptos quer manter um Presidente corrupto, com provas: malas de dinheiro, gravações, filmagens. Sou contra a compra de votos que aconteceu, a mais escancarada da história deste País, e contra a corrupção. 
Fora, Temer! Diretas já! Não ao relatório! Lula em 2018!",62
Jorge Tadeu Mudalen,DEM,SP,A favor,7673264,1635589.64,Contra,"Com o relatório do Deputado Paulo Abi-Ackel, sim.",8
Jorginho Mello,PR,SC,A favor,8447967.78,4562799.88,A favor,"Sr. Presidente, sou a favor de toda e qualquer investigação. Peço vênia ao meu partido e voto não ao relatório. ",20
José Airton Cirilo,PT,CE,Contra,5434803,0,A favor,"Sr. Presidente, nós vivemos um momento de extrema tristeza para o nosso País e para o mundo, porque o Brasil se tornou uma potência referência internacionalmente. Infelizmente, contra uma Presidente honesta e correta cometeram um golpe parlamentar. Nós sabemos que nós temos que passar o Brasil a limpo. Para passar o Brasil a limpo é preciso investigar. Por isso, Sr. Presidente, eu voto contra o relatório porque eu quero a investigação.",71
José Carlos Aleluia,DEM,BA,A favor,4029005.27,1510855.45,Contra,"Sr. Presidente, eu mantenho o meu voto na Comissão de Constituição e Justiça — quero registrar a qualidade do trabalho conduzido por V.Exa. — e quero votar sim ao relatório, pelo emprego e por um País livre, próspero e moderno. O meu voto é também contra o populismo, que é um grande mal que assola a democracia moderna.",58
José Carlos Araújo,PR,BA,Contra,10120007.78,213569.47,Contra,"Sr. Presidente, nem sempre fazemos o que temos vontade. Muitas vezes, nós temos que fazer aquilo que não queremos. Neste instante, eu voto com meu partido, que fechou questão e exige que seus filiados votem conforme sua vontade. 
Portanto, eu voto sim, Sr. Presidente.",44
José Fogaça,PMDB,RS,A favor,7917283,3530017.67,Contra,"Sr. Presidente, é a terceira vez na minha vida parlamentar que eu tenho que julgar um Presidente da República. Como o Sr. Procurador-Geral da República disse que a investigação continuará, o meu voto é sim.",35
José Guimarães,PT,CE,Contra,10120007.78,213569.47,A favor,"Não à reforma da Previdência, não àreforma trabalhista. Pela democracia e dignidade do povo brasileiro, meu voto acompanha 93% dos brasileiros que querem o Fora, Temer, diretas já. Meu voto é não, Sr. Presidente.",34
José Mentor,PT,SP,Contra,8542543,1547924.22,A favor,"Sr. Presidente, em defesa dos direitos sociais e em respeito àsoberania popular, eu voto não.",15
José Nunes,PSD,BA,Contra,8514518,3046964.05,A favor,"Sr. Presidente, por entender que nenhum cidadão, mesmo ocupando o maior cargo da Nação, esteja acima da lei, voto pela continuação da investigação.
Meu voto é não.",27
José Otávio Germano,PP,RS,A favor,5567623,1781033.97,Contra,O voto é sim. Sim ao parecer do Deputado Paulo Abi-Ackel.,11
José Priante,PMDB,PA,A favor,8353723.94,1196259.39,Contra,"Sr. Presidente, o Presidente Michel Temer teráoportunidade de apresentar a sua defesa e se defender no momento oportuno. Contra os sobressaltos Eu acompanho o parecer da Comissão de Constituição e Justiça.",31
José Reinaldo,PSB,MA,A favor,5456838,10553.96,Contra,"Sr. Presidente, voto sim.",4
